/* DATA DESCRIPTION:
Citation:	Park, Jinheum; Park, Jungjae; Yi, Sangheon; Lim, Jaesoo; Kim, Jin Cheul; Jin, Qiuhong; Choi, Jieun (2020): Percentage of pollen and spores in core STP18-03 (Miryang region, Korean peninsula). PANGAEA, https://doi.org/10.1594/PANGAEA.922334, 
	Rumex [%] (Rumex) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Brassicaceae [%] (Brassicac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Poaceae [%] (Poac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen (<37µm)
	Poaceae [%] (Poac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen (>37µm)
	Humulus-type [%] (Humulus-T) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Amaranthaceae [%] (Amaranthaceae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Sanguisorba [%] (San) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Persicaria [%] (Persicaria) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Ranunculaceae [%] (Ranae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Gentianella [%] (Gentianella) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Urtica [%] (Urt) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Valeriana [%] (Val) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Oxalis [%] (Oxalis) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Cyperaceae [%] (Cyperac) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Typha/Sparganium [%] (Typha/Sparganium) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Impatiens [%] (Impatiens) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Potamogeton [%] (Potamogeton) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Nymphea [%] (Nymphea) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Nuphar [%] (Nup) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Nymphoides [%] (Nymphoides) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Pollen
	Pteridium [%] (Ptd) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Trilete, spores
	Osmunda [%] (Osm) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Trilete, spores
	Botrychium [%] (Bot) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Trilete, spores
	Huperzia [%] (Hup) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Trilete, spores
	Thelypteris [%] (Thelypteris) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Dryopteris [%] (Dryopteris) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Onocleaceae [%] (Onocleaceae) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Pyrrosia [%] (Pyrrosia) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Polypodium [%] (Ppd) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Polypodiales [%] (Poles) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: Monolete, spores
	Pollen, trees and shrubs [%] (Pollen trees+shrubs) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804)
	Pollen, herbs [%] (Pollen herbs) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804)
	Pollen, aquatic [%] (Pollen aquat) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804) * COMMENT: plants
	Fern spores [%] (Fern spores) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804)
	Pollen indeterminata [%] (Pollen indet) * PI: Park, Jinheum (https://orcid.org/0000-0002-2250-8804)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	4023 data points
*/
